index,start_time,event,empty_subdir,exists,file_count,path,status,error
58,2014-02-12 03:52:00,20140212_035200_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_035200_UTC\211,,
58,2014-02-12 03:52:00,20140212_035200_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_035200_UTC\304,,
58,2014-02-12 03:52:00,20140212_035200_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_035200_UTC\hmi.Ic_45s,,
59,2014-02-12 06:54:00,20140212_065400_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_065400_UTC\131,,
59,2014-02-12 06:54:00,20140212_065400_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_065400_UTC\211,,
59,2014-02-12 06:54:00,20140212_065400_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_065400_UTC\304,,
59,2014-02-12 06:54:00,20140212_065400_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_065400_UTC\hmi.Ic_45s,,
60,2014-02-12 15:41:00,20140212_154100_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\131,,
60,2014-02-12 15:41:00,20140212_154100_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\211,,
60,2014-02-12 15:41:00,20140212_154100_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\304,,
60,2014-02-12 15:41:00,20140212_154100_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\hmi.Ic_45s,,
60,2014-02-12 15:41:00,20140212_154100_UTC,hmi.B_720s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140212_154100_UTC\hmi.B_720s,,
61,2014-02-13 01:32:00,20140213_013200_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_013200_UTC\131,,
61,2014-02-13 01:32:00,20140213_013200_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_013200_UTC\211,,
61,2014-02-13 01:32:00,20140213_013200_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_013200_UTC\304,,
61,2014-02-13 01:32:00,20140213_013200_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_013200_UTC\hmi.Ic_45s,,
62,2014-02-13 02:41:00,20140213_024100_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_024100_UTC\131,,
62,2014-02-13 02:41:00,20140213_024100_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_024100_UTC\211,,
62,2014-02-13 02:41:00,20140213_024100_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_024100_UTC\304,,
62,2014-02-13 02:41:00,20140213_024100_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_024100_UTC\hmi.Ic_45s,,
63,2014-02-13 05:49:00,20140213_054900_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_054900_UTC\131,,
63,2014-02-13 05:49:00,20140213_054900_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_054900_UTC\211,,
63,2014-02-13 05:49:00,20140213_054900_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_054900_UTC\304,,
63,2014-02-13 05:49:00,20140213_054900_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_054900_UTC\hmi.Ic_45s,,
64,2014-02-13 08:05:00,20140213_080500_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_080500_UTC\131,,
64,2014-02-13 08:05:00,20140213_080500_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_080500_UTC\211,,
64,2014-02-13 08:05:00,20140213_080500_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_080500_UTC\304,,
64,2014-02-13 08:05:00,20140213_080500_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_080500_UTC\hmi.Ic_45s,,
65,2014-02-13 15:45:00,20140213_154500_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_154500_UTC\131,,
65,2014-02-13 15:45:00,20140213_154500_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_154500_UTC\211,,
65,2014-02-13 15:45:00,20140213_154500_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_154500_UTC\304,,
65,2014-02-13 15:45:00,20140213_154500_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20140213_154500_UTC\hmi.Ic_45s,,
88,2014-12-17 01:41:00,20141217_014100_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_014100_UTC\131,,
88,2014-12-17 01:41:00,20141217_014100_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_014100_UTC\211,,
88,2014-12-17 01:41:00,20141217_014100_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_014100_UTC\304,,
88,2014-12-17 01:41:00,20141217_014100_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_014100_UTC\hmi.Ic_45s,,
89,2014-12-17 04:25:00,20141217_042500_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_042500_UTC\131,,
89,2014-12-17 04:25:00,20141217_042500_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_042500_UTC\211,,
89,2014-12-17 04:25:00,20141217_042500_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_042500_UTC\304,,
89,2014-12-17 04:25:00,20141217_042500_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_042500_UTC\hmi.Ic_45s,,
90,2014-12-17 18:54:00,20141217_185400_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_185400_UTC\131,,
90,2014-12-17 18:54:00,20141217_185400_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_185400_UTC\211,,
90,2014-12-17 18:54:00,20141217_185400_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_185400_UTC\304,,
90,2014-12-17 18:54:00,20141217_185400_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141217_185400_UTC\hmi.Ic_45s,,
91,2014-12-18 21:41:00,20141218_214100_UTC,131,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141218_214100_UTC\131,,
91,2014-12-18 21:41:00,20141218_214100_UTC,211,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141218_214100_UTC\211,,
91,2014-12-18 21:41:00,20141218_214100_UTC,304,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141218_214100_UTC\304,,
91,2014-12-18 21:41:00,20141218_214100_UTC,hmi.Ic_45s,True,0,C:\Learning\PHD2nd\sunspotscar\data\M\20141218_214100_UTC\hmi.Ic_45s,,
